day,Kim,paco,tabixe,cutiglias,Manu,bcalle
2022-01-10,75,150,90,,0,
2022-01-11,100,225,,,0,
2022-01-12,50,100,,,0,
2022-01-13,75,175,,,0,
2022-01-14,0,133,,,0,
2022-01-15,0,0,,,0,
2022-01-16,150,70,,,0,
2022-01-17,0,25,60,,0,175
2022-01-18,0,155,200,85,0,150
2022-01-19,75,120,,185,0,200
2022-01-20,0,0,,135,0,50
2022-01-21,150,0,,85,0,100
2022-01-22,0,0,,,0,50
2022-01-23,0,0,,,0,
2022-01-24,225,75,,170,0,150
2022-01-25,270,115,60,150,0,25
2022-01-26,50,105,385,105,0,
2022-01-27,0,0,515,235,0,
2022-01-28,75,25,,125,0,
2022-01-29,100,183,,,0,
2022-01-30,0,0,,,0,
2022-01-31,45,95,,235,0,
2022-02-01,125,85,135,335,0,
2022-02-02,50,75,75,135,0,
2022-02-03,50,175,,210,0,
2022-02-04,0,100,,,0,
2022-02-05,75,0,,,0,
2022-02-06,0,0,,35,0,
2022-02-07,0,0,,180,0,
2022-02-08,0,0,260,205,0,
2022-02-09,0,25,,25,0,
2022-02-10,75,161,,65,0,
2022-02-11,0,125,,,0,
2022-02-12,115,166,,,0,
2022-02-13,60,150,,,0,
2022-02-14,0,150,,185,0,50
2022-02-15,0,200,,,0,75
2022-02-16,0,200,,,0,50
2022-02-17,0,125,,150,0,125
2022-02-18,0,75,,150,0,
2022-02-19,0,275,,,0,
2022-02-20,0,210,,20,0,
2022-02-21,0,100,,70,0,325
2022-02-22,0,175,,110,0,
2022-02-23,0,175,,130,0,
2022-02-24,0,150,,115,0,
2022-02-25,,0,,25,0,
2022-02-26,,0,,,0,
2022-02-27,,75,,,0,
2022-02-28,,225,,225,0,200
2022-03-01,,150,,280,0,
2022-03-02,,100,,250,0,200
2022-03-03,,0,,100,0,125
2022-03-04,,25,,290,0,
2022-03-05,,0,,,0,
2022-03-06,,0,,,0,
2022-03-07,,75,,75,0,125
2022-03-08,,75,,275,0,75
2022-03-09,,75,,100,0,50
2022-03-10,,0,,155,0,
2022-03-11,,0,,55,0,
2022-03-12,,0,,,0,
2022-03-13,,0,,,0,75
2022-03-14,,0,,75,0,125
2022-03-15,,25,,95,0,50
2022-03-16,,0,,40,0,100
2022-03-17,,25,,85,0,
2022-03-18,,0,,,0,
2022-03-19,,0,,,0,
2022-03-20,,0,,,0,
2022-03-21,,0,,60,0,150
2022-03-22,,0,,50,0,
2022-03-23,,0,,50,0,
2022-03-24,,0,,80,0,150
2022-03-25,,0,,,0,25
2022-03-26,,0,,,0,
2022-03-27,,0,,,0,
2022-03-28,,0,,,0,125
2022-03-29,,0,,110,0,
2022-03-30,,75,,100,0,
2022-03-31,,100,,100,0,
2022-04-01,,150,,,0,
2022-04-02,,0,,,0,
2022-04-03,,0,,,0,
2022-04-04,,100,,,0,100
2022-04-05,,100,,185,0,75
2022-04-06,,150,,,0,
2022-04-07,,225,,,0,125
2022-04-08,,175,,50,0,
2022-04-09,,25,,,0,
2022-04-10,,0,,,0,
2022-04-11,,200,,50,0,175
2022-04-12,,150,,90,0,
2022-04-13,,75,,155,0,75
2022-04-14,,75,,,0,125
2022-04-15,,0,,,0,
2022-04-16,,0,,,0,
2022-04-17,,0,,,0,
2022-04-18,,50,,,0,275
2022-04-19,,250,,,0,175
2022-04-20,,200,,95,0,250
2022-04-21,,200,,80,0,150
2022-04-22,,25,,70,0,150
2022-04-23,,100,,,0,
2022-04-24,,0,,,0,200
2022-04-25,,100,,115,0,
2022-04-26,,150,,125,0,
2022-04-27,,150,,,0,
2022-04-28,,100,,85,0,
2022-04-29,,25,,85,0,
2022-04-30,,0,,,0,
2022-05-01,,0,,,0,
2022-05-02,,0,,,0,
2022-05-03,,75,,40,0,
2022-05-04,,150,,,0,
2022-05-05,,150,,135,0,
2022-05-06,,175,,50,0,
2022-05-07,,0,,,0,
2022-05-08,,0,,,0,
2022-05-09,,150,,,0,
2022-05-10,,225,,110,0,
2022-05-11,,225,,,0,
2022-05-12,,225,,100,0,
2022-05-13,,100,,,0,
2022-05-14,,0,,,0,
2022-05-15,,0,,,0,
2022-05-16,,125,,155,0,
2022-05-17,,200,,,0,
2022-05-18,,160,,45,0,
2022-05-19,,200,,,0,25
2022-05-20,,150,,,0,
2022-05-21,,0,,,0,
2022-05-22,,50,,,0,
2022-05-23,,250,,,0,
2022-05-24,,190,,,0,
2022-05-25,,50,,25,0,
2022-05-26,,100,,45,0,
2022-05-27,,50,,,0,
2022-05-28,,75,,,0,
2022-05-29,,50,,,0,
2022-05-30,,275,,95,0,
2022-05-31,,200,,75,0,
2022-06-01,,75,,25,0,
2022-06-02,,0,,,0,
2022-06-03,,0,,,0,
2022-06-04,,0,,,0,
2022-06-05,,0,,,0,
2022-06-06,,175,,55,0,
2022-06-07,,200,,85,0,
2022-06-08,,125,,,0,
2022-06-09,,175,,,0,
2022-06-10,,0,,,0,
2022-06-11,,0,,,0,
2022-06-12,,0,,,0,
2022-06-13,,125,,,0,
2022-06-14,,100,,,0,
2022-06-15,,170,,,0,200
2022-06-16,,175,,,0,100
2022-06-17,,200,,,0,100
2022-06-18,,0,,,0,
2022-06-19,,0,,,0,
2022-06-20,,224,,100,0,200
2022-06-21,,150,,95,0,175
2022-06-22,,170,,,0,225
2022-06-23,,200,,180,0,150
2022-06-24,,75,,30,0,25
2022-06-25,,0,,,0,
2022-06-26,,0,,,0,
2022-06-27,,125,,35,0,200
2022-06-28,,125,,90,0,125
2022-06-29,,100,,35,0,
2022-06-30,,150,,95,0,50
2022-07-01,,0,,20,0,
2022-07-02,,0,,,0,
2022-07-03,,0,,,0,
2022-07-04,,150,,60,0,
2022-07-05,,125,,25,0,25
2022-07-06,,100,,95,0,125
2022-07-07,,200,,105,0,25
2022-07-08,,125,,,0,75
2022-07-09,,25,,,0,
2022-07-10,,50,,,0,
2022-07-11,,125,,150,0,
2022-07-12,,50,,120,0,
2022-07-13,,150,,45,0,150
2022-07-14,,75,,,0,100
2022-07-15,,75,,,0,50
2022-07-16,,0,,,0,
2022-07-17,,0,,,0,
2022-07-18,,152,,55,0,125
2022-07-19,,286,,95,0,200
2022-07-20,,160,,50,0,125
2022-07-21,,125,,105,0,225
2022-07-22,,150,,,0,50
2022-07-23,,0,,,0,
2022-07-24,,25,,,0,
2022-07-25,,200,,,0,200
2022-07-26,,200,,,0,
2022-07-27,,260,,,0,
2022-07-28,,200,,,0,
2022-07-29,,125,,,0,
2022-07-30,,0,,,0,
2022-07-31,,0,,,0,
2022-08-01,,125,,,0,
2022-08-02,,150,,,0,
2022-08-03,,240,,,0,
2022-08-04,,248,,,0,
2022-08-05,,155,,,0,
2022-08-06,,75,,,0,
2022-08-07,,75,,,0,
2022-08-08,,185,,,0,
2022-08-09,,262,,,0,
2022-08-10,,372,,,0,
2022-08-11,,262,,,0,
2022-08-12,,150,,,0,
2022-08-13,,82,,,0,
2022-08-14,,125,,,0,
2022-08-15,,125,,80,0,
2022-08-16,,175,,60,0,
2022-08-17,,265,,85,0,
2022-08-18,,272,,60,0,
2022-08-19,,173,,,0,
2022-08-20,,0,,,0,
2022-08-21,,0,,100,0,
2022-08-22,,150,,70,0,100
2022-08-23,,0,,105,0,25
2022-08-24,,0,,70,0,125
2022-08-25,,0,,85,0,100
2022-08-26,,0,,,0,100
2022-08-27,,0,,,0,
2022-08-28,,0,,,0,
2022-08-29,,0,,,0,175
2022-08-30,,100,,20,0,200
2022-08-31,,75,,40,0,
2022-09-01,,175,,55,0,
2022-09-02,,0,,70,0,
2022-09-03,,0,,,0,
2022-09-04,,0,,,0,
2022-09-05,,25,,40,0,150
2022-09-06,,200,,,0,125
2022-09-07,,0,,,0,200
2022-09-08,,150,,60,0,175
2022-09-09,,150,,20,0,75
2022-09-10,,0,,,0,
2022-09-11,,0,,,0,75
2022-09-12,,275,,,0,
2022-09-13,,150,,90,0,75
2022-09-14,,225,,,0,25
2022-09-15,,150,,,0,
2022-09-16,,150,,,0,
2022-09-17,,0,,,0,
2022-09-18,,0,,,0,
2022-09-19,,50,,,0,175
2022-09-20,,175,,,0,
2022-09-21,,205,,,0,
2022-09-22,,190,,,0,75
2022-09-23,,150,,,0,125
2022-09-24,,0,,,0,175
2022-09-25,,0,,,0,150
2022-09-26,,250,,,0,100
2022-09-27,,225,,85,0,
2022-09-28,,125,,110,0,
2022-09-29,,200,,145,0,125
2022-09-30,,160,,45,0,
2022-10-01,,100,,,0,
2022-10-02,,100,,,0,
2022-10-03,,312,,25,0,
2022-10-04,,255,,15,0,
2022-10-05,,250,,40,0,100
2022-10-06,,186,,100,0,75
2022-10-07,,200,,65,0,
2022-10-08,,60,,,0,100
2022-10-09,,0,,,0,150
2022-10-10,,325,,55,0,
2022-10-11,,280,,70,0,100
2022-10-12,,290,,65,0,150
2022-10-13,,50,,70,0,100
2022-10-14,,225,,15,0,125
2022-10-15,,25,,,0,275
2022-10-16,,25,,,0,75
2022-10-17,,225,,75,0,
2022-10-18,,225,,135,0,100
2022-10-19,,0,,40,0,100
2022-10-20,,200,,,0,
2022-10-21,,0,,,0,125
2022-10-22,,0,,,0,225
2022-10-23,,0,,,0,200
2022-10-24,,175,,65,0,125
2022-10-25,,203,,15,0,175
2022-10-26,,175,,50,0,300
2022-10-27,,185,,,0,75
2022-10-28,,150,,,0,
2022-10-29,,50,,,0,
2022-10-30,,25,,,0,
